"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"Linked Lists", "Can a linked list node contain multiple data fields?", "A. No, only one data field.", "B. Yes, any number of data fields.", "C. Only two data fields.", "D. Only if it's a doubly linked list.", "B"
"Linked Lists", "What is the primary benefit of a circular linked list over a linear one?", "A. Easier to find the middle element.", "B. Allows continuous traversal from any node without a null check at the end.", "C. Uses less memory.", "D. Provides direct access to any element.", "B"
"Linked Lists", "What happens to memory when a node is deleted from a linked list?", "A. The memory is automatically freed by the garbage collector (in some languages).", "B. The memory must be explicitly freed to prevent memory leaks.", "C. The memory is never reused.", "D. The operating system handles it entirely.", "B"
"Linked Lists", "Which sorting algorithm is often implemented using linked lists due to its efficiency with non-contiguous data?", "A. QuickSort", "B. Heap Sort", "C. Merge Sort", "D. Bubble Sort", "C"
"Linked Lists", "What is the purpose of a 'sentinel node' in a linked list?", "A. To mark the current position.", "B. A special node that simplifies boundary conditions (e.g., empty list, adding to head/tail).", "C. A node that indicates a loop.", "D. A node that stores the list's size.", "B"
"Linked Lists", "When creating a new node, what is the initial value typically assigned to its 'next' pointer?", "A. The head pointer.", "B. The tail pointer.", "C. NULL (or equivalent).", "D. A random address.", "C"
"Linked Lists", "What is a 'self-referential structure' in C/C++?", "A. A structure that references itself directly.", "B. A structure that contains a pointer to a structure of the same type.", "C. A structure that cannot be modified.", "D. A structure used for recursion.", "B"
"Linked Lists", "In a singly linked list, to insert a node *before* a given node, what must you typically do?", "A. Directly update the given node's `next` pointer.", "B. Traverse from the head to find the *previous* node.", "C. It's not possible to insert before a node.", "D. Create a new head node.", "B"
"Linked Lists", "Which linked list variation is useful for implementing a LRU (Least Recently Used) cache?", "A. Singly linked list", "B. Doubly linked list", "C. Circular linked list", "D. Skip list", "B"
"Linked Lists", "What is the maximum number of nodes a linked list can have?", "A. Limited by integer overflow.", "B. Limited by available memory.", "C. Fixed at compile time.", "D. 1024", "B"
"Linked Lists", "What is the process of iterating through each node of a linked list called?", "A. Searching", "B. Sorting", "C. Traversal", "D. Hashing", "C"
"Linked Lists", "Which of the following is true about 'nodes' in a linked list?", "A. They must be stored in contiguous memory.", "B. They are always of different sizes.", "C. They are distinct entities linked by pointers.", "D. They are only used for numerical data.", "C"
"Linked Lists", "If a linked list has a loop, how would its traversal differ from a non-looped list?", "A. It would stop at NULL.", "B. It would never stop (unless a specific condition is met).", "C. It would always traverse backwards.", "D. It would automatically sort.", "B"
"Linked Lists", "What is the time complexity to search for an element in an unsorted singly linked list?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n log n)", "C"
"Linked Lists", "Can a linked list be empty?", "A. No, it must have at least one node.", "B. Yes, if its head pointer is NULL.", "C. Only if it's a circular linked list.", "D. Only if it's a doubly linked list.", "B"
"Linked Lists", "Which of these sorting algorithms uses linked lists naturally to avoid expensive data movement?", "A. Insertion Sort (can be adapted)", "B. QuickSort (not naturally)", "C. Bubble Sort (not naturally)", "D. Selection Sort (not naturally)", "A"
"Linked Lists", "What is the primary challenge with implementing arrays using linked lists?", "A. Arrays are inherently static.", "B. Random access in linked lists is O(n), not O(1).", "C. Linked lists use too much memory.", "D. Linked lists cannot store integer data.", "B"
"Linked Lists", "Which linked list type simplifies insertion/deletion at both ends, and also before/after any given node?", "A. Singly Linked List", "B. Circular Singly Linked List", "C. Doubly Linked List", "D. Skip List", "C"
"Linked Lists", "What is 'list flattening'?", "A. Removing duplicate elements from a linked list.", "B. Converting a multi-level (nested) linked list into a single-level list.", "C. Sorting a linked list.", "D. Reversing a linked list.", "B"
"Linked Lists", "What does 'pointer arithmetic' refer to when discussing linked lists?", "A. Adding numerical values to pointers.", "B. Moving pointers along the links (e.g., `current = current->next`).", "C. Calculating the size of a node.", "D. It's not applicable to linked lists.", "B"
"Linked Lists", "Which concept from linked lists is foundational for building other data structures like stacks and queues?", "A. Dynamic sizing", "B. Node-based structure with pointers", "C. Memory overhead", "D. Random access limitation", "B"
"Linked Lists", "What is a 'self-organizing list'?", "A. A list that automatically sorts itself.", "B. A linked list that reorders elements based on access frequency to improve future search times.", "C. A list that manages its own memory.", "D. A list that can detect errors.", "B"
"Stacks", "Which principle does a Stack data structure follow?", "A. FIFO (First In, First Out)", "B. LIFO (Last In, First Out)", "C. LILO (Last In, Last Out)", "D. FIFO or LIFO depending on implementation", "B"
"Stacks", "What is the operation to add an element to the top of a stack called?", "A. Pop", "B. Peek", "C. Push", "D. Dequeue", "C"
"Stacks", "What is the operation to remove an element from the top of a stack called?", "A. Push", "B. Pop", "C. Enqueue", "D. Top", "B"
"Stacks", "Which of the following is true about a stack?", "A. Elements can be accessed randomly.", "B. Elements are stored in contiguous memory locations only.", "C. Elements are added and removed from the same end.", "D. It is a linear data structure that supports non-linear access.", "C"
"Stacks", "What is the time complexity of the Push operation in a stack implemented using an array (assuming no resizing needed)?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Stacks", "What is the time complexity of the Pop operation in a stack implemented using a linked list?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Stacks", "When does a 'Stack Overflow' error occur?", "A. When trying to pop from an empty stack.", "B. When trying to push an element onto a full stack.", "C. When the stack is created.", "D. When the stack has only one element.", "B"
"Stacks", "When does a 'Stack Underflow' error occur?", "A. When trying to pop from an empty stack.", "B. When trying to push an element onto a full stack.", "C. When the stack is created.", "D. When the stack has only one element.", "A"
"Stacks", "Which of these is a common application of stacks?", "A. Implementing BFS (Breadth-First Search)", "B. Function call management (recursion)", "C. Database indexing", "D. Network routing", "B"
"Stacks", "What is the 'peek' or 'top' operation in a stack?", "A. Removes the top element.", "B. Adds an element to the top.", "C. Returns the top element without removing it.", "D. Checks if the stack is empty.", "C"
"Stacks", "What is the space complexity of a stack containing 'n' elements?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Stacks", "If a stack is implemented using an array, what happens if the array becomes full and a push operation is attempted?", "A. It automatically resizes (if dynamic array).", "B. A stack overflow error occurs.", "C. The element is silently discarded.", "D. It becomes a linked list.", "B"
"Stacks", "Which expression form is easier to evaluate using a stack?", "A. Infix", "B. Prefix", "C. Postfix", "D. All are equally easy", "C"
"Stacks", "What is the postfix expression for `A + B * C`?", "A. `+ A B C *`", "B. `A B C * +`", "C. `A B + C *`", "D. `A + B C *`", "B"
"Stacks", "What is the typical use of a stack in evaluating an expression?", "A. To store operands and operators temporarily.", "B. To sort the expression elements.", "C. To check for balanced parentheses.", "D. Both A and C", "D"
"Stacks", "Which algorithm uses a stack to keep track of visited nodes?", "A. Breadth-First Search (BFS)", "B. Depth-First Search (DFS)", "C. Dijkstra's Algorithm", "D. Prim's Algorithm", "B"
"Stacks", "How can you reverse a string using a stack?", "A. Push all characters onto the stack, then pop them off one by one.", "B. Pop all characters onto the stack, then push them off.", "C. Use a queue.", "D. Stacks cannot reverse strings.", "A"
"Stacks", "If a stack is implemented using a singly linked list, which end should be considered the 'top' for efficient operations?", "A. The head of the list.", "B. The tail of the list.", "C. The middle of the list.", "D. Either end, it doesn't matter.", "A"
"Stacks", "Which data structure is essential for implementing undo/redo functionality in applications?", "A. Queue", "B. Tree", "C. Stack", "D. Hash Table", "C"
"Stacks", "What is the time complexity of checking if a stack is empty?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Stacks", "Which of the following is an iterative application of a stack?", "A. Recursion elimination.", "B. Function call management.", "C. Infix to postfix conversion.", "D. All of the above.", "D"
"Stacks", "What is a 'stack frame' or 'activation record'?", "A. The physical memory location of a stack.", "B. A block of memory on the stack used to store information about a function call.", "C. The initial size of a stack.", "D. An error message from a stack.", "B"
"Stacks", "Can a stack store elements of different data types?", "A. Yes, always.", "B. No, only homogeneous types.", "C. Depends on the programming language and implementation.", "D. Only if it's a dynamic stack.", "C"
"Stacks", "Which of these real-world scenarios exemplifies a stack?", "A. A line at a ticket counter.", "B. A pile of plates.", "C. A deck of cards.", "D. A queue of cars at a traffic light.", "B"
"Stacks", "What is the 'top' pointer or index in a stack implementation?", "A. Points to the first element.", "B. Points to the element that was inserted first.", "C. Points to the element that will be removed next.", "D. Points to the bottom of the stack.", "C"
"Stacks", "What is the state of a stack after `Push(10)`, `Push(20)`, `Pop()`, `Push(30)`?", "A. 10, 30", "B. 20, 30", "C. 10, 20, 30", "D. 30, 10", "A"
"Stacks", "If a stack is empty, what should a `Pop` operation typically return or do?", "A. Return 0.", "B. Return null or throw an exception.", "C. Return the last pushed value.", "D. Remain idle.", "B"
"Stacks", "How is recursion typically implemented by compilers/interpreters?", "A. Using a queue.", "B. Using a hash table.", "C. Using a call stack.", "D. Using a linked list directly.", "C"
"Stacks", "What is the purpose of an 'operator precedence' table when converting infix to postfix using a stack?", "A. To determine the order of numbers.", "B. To decide when to push or pop operators from the stack.", "C. To check for valid operators.", "D. To count the number of operators.", "B"
"Stacks", "Which of the following expressions is valid after converting `(A + B) * C` to postfix?", "A. `A B + C *`", "B. `A B C + *`", "C. `A + B * C`", "D. `* + A B C`", "A"
"Stacks", "What is the space complexity of converting an infix expression to postfix using a stack?", "A. O(1)", "B. O(log n)", "C. O(n) in worst case (for operands/operators)", "D. O(n log n)", "C"
"Stacks", "What does it mean for a stack to be 'full'?", "A. It has no elements.", "B. It has reached its maximum capacity.", "C. It has more than one element.", "D. It is about to underflow.", "B"
"Stacks", "If you need to implement a stack with a fixed maximum size, which underlying data structure is most suitable?", "A. Linked List", "B. Array", "C. Hash Table", "D. Binary Tree", "B"
"Stacks", "If you need a stack that can grow and shrink dynamically without a fixed size limit, which underlying data structure is most suitable?", "A. Array", "B. Linked List", "C. Circular Queue", "D. Hash Table", "B"
"Stacks", "Which of the following is NOT an operation typically associated with a stack?", "A. isFull()", "B. isEmpty()", "C. enqueue()", "D. size()", "C"
"Stacks", "In terms of memory, which implementation of a stack might be more memory-efficient if the maximum size is known and fixed?", "A. Linked List", "B. Array", "C. Both are equally efficient.", "D. Depends on the data type.", "B"
"Stacks", "How many pointers are typically needed for a linked list implementation of a stack?", "A. Zero", "B. One (head/top pointer)", "C. Two (head and tail)", "D. Three", "B"
"Stacks", "Consider the sequence of operations: `Push(5), Push(10), Pop(), Push(15), Pop(), Push(20)`. What is the final element at the top of the stack?", "A. 10", "B. 15", "C. 20", "D. 5", "C"
"Stacks", "Which data structure is commonly used to check for balanced parentheses in an expression?", "A. Queue", "B. Stack", "C. Linked List", "D. Array", "B"
"Stacks", "When processing an expression with a stack for parentheses balancing, what happens when a closing parenthesis is encountered?", "A. It is pushed onto the stack.", "B. It is discarded.", "C. The stack is popped, and the popped element is checked against the closing parenthesis.", "D. The entire stack is emptied.", "C"
"Stacks", "What is the primary role of a stack in a browser's history feature?", "A. To store visited URLs in LIFO order (Back button).", "B. To store visited URLs in FIFO order.", "C. To sort the URLs by date.", "D. To encrypt the URLs.", "A"
"Stacks", "If you have a stack `S` and a queue `Q`, and you want to reverse the elements of `S` into `Q`, what operations would you use?", "A. Pop from `S`, Enqueue to `Q`.", "B. Enqueue to `S`, Pop from `Q`.", "C. Pop from `S`, Push to `Q`.", "D. Push to `S`, Enqueue to `Q`.", "A"
"Stacks", "What is a 'persistent stack'?", "A. A stack that never empties.", "B. A stack that saves its state after every operation, allowing access to previous versions.", "C. A stack stored on disk.", "D. A stack that uses persistent memory.", "B"
"Stacks", "What is the 'call stack' in computer programming?", "A. A list of all variables in a program.", "B. A stack that stores information about active subroutines/functions.", "C. A data structure used for parallel processing.", "D. A queue of function calls.", "B"
"Stacks", "In some systems, what is the default behavior if the call stack grows too large?", "A. The program continues normally.", "B. It leads to a 'stack overflow' error.", "C. It automatically resizes the stack memory.", "D. It converts to a linked list.", "B"
"Stacks", "Which of the following is true about dynamic stack implementations (e.g., using linked lists)?", "A. They are prone to stack overflow if not managed well.", "B. They do not have a fixed maximum size, limited only by available memory.", "C. Push/Pop operations are O(n).", "D. They use less memory than array-based stacks.", "B"
"Stacks", "What is the role of the 'base pointer' or 'frame pointer' in a stack frame?", "A. Points to the current top of the stack.", "B. Points to the bottom of the current stack frame.", "C. Points to the return address.", "D. Points to the next stack frame.", "B"
"Stacks", "What does it mean for an algorithm to be 'tail-recursive'?", "A. It uses a queue instead of a stack.", "B. Its recursive call is the last operation, allowing optimization to iterative code.", "C. It avoids using the call stack.", "D. It has a very long recursion depth.", "B"
"Stacks", "If you need to process elements in the exact reverse order of their arrival, which data structure is most appropriate?", "A. Queue", "B. Stack", "C. Array", "D. Linked List (general)", "B"
"Stacks", "Which of the following is a direct consequence of the LIFO principle?", "A. The oldest element is processed first.", "B. The element added last is the first one to be removed.", "C. Elements are always sorted.", "D. Random access is efficient.", "B"
"Queues", "Which principle does a Queue data structure follow?", "A. LIFO (Last In, First Out)", "B. FIFO (First In, First Out)", "C. LILO (Last In, Last Out)", "D. FILO (First In, Last Out)", "B"
"Queues", "What is the operation to add an element to the rear of a queue called?", "A. Dequeue", "B. Peek", "C. Enqueue", "D. Pop", "C"
"Queues", "What is the operation to remove an element from the front of a queue called?", "A. Enqueue", "B. Dequeue", "C. Front", "D. Push", "B"
"Queues", "Which of the following is true about a queue?", "A. Elements can be accessed randomly.", "B. Elements are added and removed from opposite ends.", "C. Elements are stored in contiguous memory locations only.", "D. It is a non-linear data structure.", "B"
"Queues", "What is the time complexity of the Enqueue operation in a queue implemented using a circular array (assuming not full)?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Queues", "What is the time complexity of the Dequeue operation in a queue implemented using a linked list?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Queues", "When does a 'Queue Overflow' error occur?", "A. When trying to dequeue from an empty queue.", "B. When trying to enqueue an element onto a full queue.", "C. When the queue is created.", "D. When the queue has only one element.", "B"
"Queues", "When does a 'Queue Underflow' error occur?", "A. When trying to dequeue from an empty queue.", "B. When trying to enqueue an element onto a full queue.", "C. When the queue is created.", "D. When the queue has only one element.", "A"
"Queues", "Which of these is a common application of queues?", "A. Function call management (recursion)", "B. CPU scheduling", "C. Checking balanced parentheses", "D. Undo/Redo operations", "B"
"Queues", "What is the 'front' or 'peek' operation in a queue?", "A. Removes the front element.", "B. Adds an element to the rear.", "C. Returns the front element without removing it.", "D. Checks if the queue is empty.", "C"
"Queues", "What is the space complexity of a queue containing 'n' elements?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Queues", "If a queue is implemented using a fixed-size array, what is a major issue to address after several enqueue and dequeue operations?", "A. Queue becomes full instantly.", "B. Underflow errors.", "C. Wasted space at the beginning of the array (front pointer moves).", "D. Data corruption.", "C"
"Queues", "How is the issue of wasted space in an array-based queue typically resolved?", "A. By using a stack.", "B. By using a circular array (circular queue).", "C. By always shifting elements to the front.", "D. By making the array larger.", "B"
"Queues", "What is a 'circular queue'?", "A. A queue that stores only numbers.", "B. A queue where the rear wraps around to the front of the array when needed.", "C. A queue that processes elements in a random order.", "D. A queue with a fixed capacity.", "B"
"Queues", "Which type of queue is suitable for implementing priority-based tasks?", "A. Simple Queue", "B. Circular Queue", "C. Priority Queue", "D. Deque (Double-ended Queue)", "C"
"Queues", "What is the time complexity for inserting an element into a Priority Queue (typically implemented with a heap)?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n log n)", "B"
"Queues", "What is a 'Deque' (Double-ended Queue)?", "A. A queue that only allows insertions from the front.", "B. A queue that only allows deletions from the rear.", "C. A queue that allows insertions and deletions from both ends.", "D. A queue that stores two types of data.", "C"
"Queues", "Which of the following data structures is essential for implementing BFS (Breadth-First Search)?", "A. Stack", "B. Queue", "C. Linked List (general)", "D. Hash Table", "B"
"Queues", "How many pointers are typically needed for a linked list implementation of a queue?", "A. One (front pointer)", "B. Two (front and rear pointers)", "C. Zero", "D. Three", "B"
"Queues", "What is the time complexity of checking if a queue is empty?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Queues", "If a queue is empty, what should a `Dequeue` operation typically return or do?", "A. Return 0.", "B. Return null or throw an exception.", "C. Return the last enqueued value.", "D. Remain idle.", "B"
"Queues", "Which of these real-world scenarios exemplifies a queue?", "A. A stack of books.", "B. Cars waiting at a traffic light.", "C. A browser's back history.", "D. A pile of clean laundry.", "B"
"Queues", "What is the primary advantage of a linked list implementation of a queue over an array implementation?", "A. Better cache performance.", "B. Fixed size, so no overflow.", "C. Dynamic size, no need for resizing or overflow issues (until memory runs out).", "D. Faster access to middle elements.", "C"
"Queues", "In a simple array-based queue, if the `front` pointer is at index `i` and `rear` pointer is at index `j`, how do you check if the queue is full?", "A. `front == rear`", "B. `front == (rear + 1) % capacity` (for circular)", "C. `rear == capacity - 1`", "D. `front == 0 && rear == capacity - 1`", "D"
"Queues", "What is the state of a queue after `Enqueue(A)`, `Enqueue(B)`, `Dequeue()`, `Enqueue(C)`?", "A. B, C", "B. A, B, C", "C. C, B", "D. A, C", "A"
"Queues", "Which of the following is true about a Priority Queue?", "A. Elements are retrieved in the order they were inserted.", "B. Elements are retrieved based on their priority.", "C. It is always implemented using a linked list.", "D. It only stores integers.", "B"
"Queues", "What data structure is commonly used to implement a Priority Queue efficiently?", "A. Stack", "B. Simple Array", "C. Heap", "D. Hash Table", "C"
"Queues", "Which search algorithm uses a queue to explore nodes level by level?", "A. Depth-First Search (DFS)", "B. Breadth-First Search (BFS)", "C. Linear Search", "D. Binary Search", "B"
"Queues", "In a circular array-based queue, what is the condition for an empty queue?", "A. `front == (rear + 1) % capacity`", "B. `front == rear`", "C. `front == 0`", "D. `rear == capacity - 1`", "B"
"Queues", "If a queue is used to process tasks in a printer spooler, what happens when a new print job arrives?", "A. It goes to the front of the queue.", "B. It is added to the rear of the queue.", "C. It is discarded if the queue is full.", "D. It is sorted based on document size.", "B"
"Queues", "Which of the following is NOT a typical operation associated with a queue?", "A. isFull()", "B. isEmpty()", "C. Pop()", "D. size()", "C"
"Queues", "What is the difference between a queue and a stack?", "A. Stacks are FIFO, queues are LIFO.", "B. Stacks operate on one end, queues operate on two ends.", "C. Stacks are linear, queues are non-linear.", "D. Stacks are used for recursion, queues are not.", "B"
"Queues", "Which queue variant would you use if you need to add and remove elements from both ends?", "A. Simple Queue", "B. Circular Queue", "C. Priority Queue", "D. Deque", "D"
"Queues", "What is the disadvantage of implementing a queue using two stacks?", "A. Enqueue/Dequeue operations become O(1).", "B. Enqueue/Dequeue operations can become O(n) in worst case for specific operations.", "C. It uses less memory.", "D. It is simpler to implement.", "B"
"Queues", "In a queue implemented with a linked list, which node represents the `front` of the queue?", "A. The head node.", "B. The tail node.", "C. The middle node.", "D. Any node.", "A"
"Queues", "In a queue implemented with a linked list, which node represents the `rear` of the queue?", "A. The head node.", "B. The tail node.", "C. The middle node.", "D. Any node.", "B"
"Queues", "What is a 'message queue' in operating systems?", "A. A queue for sorting messages.", "B. A queue used for inter-process communication.", "C. A queue for network packets only.", "D. A queue for managing system errors.", "B"
"Queues", "Which data structure is best suited for buffering data streams?", "A. Stack", "B. Queue", "C. Array", "D. Tree", "B"
"Queues", "If a queue is used to manage print jobs, and a high-priority job arrives, how would a standard queue handle it?", "A. It would process it immediately.", "B. It would place it at the front of the queue.", "C. It would place it at the rear, processing it in FIFO order.", "D. It would discard it.", "C"
"Queues", "What is a 'job queue' in an operating system context?", "A. A queue of jobs waiting for user input.", "B. A queue of programs waiting to be executed by the CPU.", "C. A queue of completed jobs.", "D. A queue for network connections.", "B"
"Queues", "What is the typical time complexity of getting the `front` element without removing it in a queue?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Queues", "Which type of queue is typically used for a task scheduler in a multi-threaded environment where tasks have different priorities?", "A. Simple Queue", "B. Circular Queue", "C. Priority Queue", "D. Deque", "C"
"Queues", "Can a queue store elements of different data types?", "A. Yes, always.", "B. No, only homogeneous types.", "C. Depends on the programming language and implementation.", "D. Only if it's a dynamic queue.", "C"
"Queues", "What is the purpose of a 'buffer' when using a queue?", "A. To sort incoming data.", "B. To temporarily store data between a producer and consumer, smoothing out rate differences.", "C. To encrypt the data.", "D. To compress the data.", "B"
"Queues", "In an array-based implementation of a queue, how is the `rear` pointer (index) updated after an `Enqueue` operation?", "A. `rear = rear - 1`", "B. `rear = (rear + 1) % capacity` (for circular)", "C. `rear = 0`", "D. `rear = front`", "B"
"Queues", "What is the main benefit of a circular queue over a linear array-based queue?", "A. It's simpler to implement.", "B. It avoids wasted memory space by reusing array slots.", "C. It is inherently dynamic.", "D. It provides O(1) time complexity for search.", "B"
"Queues", "If a queue implementation uses a dynamic array (like `ArrayList`), what happens if an `Enqueue` operation is attempted on a full underlying array?", "A. A queue overflow error occurs.", "B. The array's capacity is increased (e.g., doubled), and elements are copied.", "C. The element is discarded.", "D. The queue becomes a linked list.", "B"
"Queues", "Which of the following data structures can be used to implement both a stack and a queue?", "A. Array", "B. Linked List", "C. Both A and B", "D. Neither", "C"
"Queues", "What is the concept of 'throughput' related to queues in systems?", "A. The number of elements currently in the queue.", "B. The rate at which elements are processed and leave the queue.", "C. The maximum capacity of the queue.", "D. The time an element waits in the queue.", "B"
"Queues", "Which type of queue is most suitable for handling input from devices where the order of arrival is critical?", "A. Priority Queue", "B. Deque", "C. Simple (FIFO) Queue", "D. Circular Queue (if capacity is fixed)", "C"
"Recursion", "What is recursion in programming?", "A. A loop that iterates infinitely.", "B. A function that calls itself directly or indirectly.", "C. A function that calls another function.", "D. A technique to avoid loops.", "B"
"Recursion", "What are the two main components of a recursive function?", "A. Input and output.", "B. Base case and recursive step.", "C. Loop and conditional statement.", "D. Global and local variables.", "B"
"Recursion", "What is the 'base case' in a recursive function?", "A. The first recursive call.", "B. The condition that terminates the recursion.", "C. The part that performs the main computation.", "D. The last line of the function.", "B"
"Recursion", "What happens if a recursive function does not have a base case?", "A. It runs infinitely, leading to a stack overflow.", "B. It returns an error at compile time.", "C. It performs faster.", "D. It automatically stops after a few calls.", "A"
"Recursion", "Which data structure is implicitly used by the system to manage recursive function calls?", "A. Queue", "B. Heap", "C. Stack (Call Stack)", "D. Linked List", "C"
"Recursion", "What is the time complexity of a recursive factorial function for a number N?", "A. O(1)", "B. O(log N)", "C. O(N)", "D. O(N^2)", "C"
"Recursion", "What is the space complexity of a recursive factorial function for a number N?", "A. O(1)", "B. O(log N)", "C. O(N) due to call stack", "D. O(N^2)", "C"
"Recursion", "Which of the following problems is naturally suited for a recursive solution?", "A. Finding an element in an unsorted array.", "B. Traversing a tree.", "C. Sorting a large array using Bubble Sort.", "D. Implementing a queue.", "B"
"Recursion", "What is 'tail recursion'?", "A. A recursive call that is the first operation in the function.", "B. A recursive call that is the last operation in the function.", "C. A recursive call that is not optimized.", "D. A recursion without a base case.", "B"
"Recursion", "Why is tail recursion important in some programming languages?", "A. It makes the code more complex.", "B. It cannot be optimized by compilers.", "C. It can be optimized to iterative code, reducing stack space.", "D. It always runs faster.", "C"
"Recursion", "What is the output of the following pseudocode: `function func(n): if n <= 0 then return 0 else return n + func(n-1)` for `func(3)`?", "A. 0", "B. 3", "C. 6", "D. 9", "C"
"Recursion", "What is the common issue that can arise from excessive recursion?", "A. Heap overflow.", "B. Stack overflow.", "C. Compilation error.", "D. Memory underflow.", "B"
"Recursion", "Which of the following is an iterative solution for a problem that can also be solved recursively?", "A. Loop", "B. Memoization", "C. Dynamic Programming", "D. All of the above (often used for optimization/alternative)", "A"
"Recursion", "Can every recursive function be rewritten iteratively?", "A. No, some problems are inherently recursive.", "B. Yes, with explicit stack management.", "C. Only if it's tail-recursive.", "D. Only if it's a simple recursion.", "B"
"Recursion", "What is 'memoization' in the context of recursion?", "A. A technique to make recursion run infinitely.", "B. A technique to store results of expensive function calls and return the cached result when the same inputs occur again.", "C. A method to convert recursion to iteration.", "D. A debugging technique for recursion.", "B"
"Recursion", "For which type of problems is memoization particularly useful with recursion?", "A. Problems with no overlapping subproblems.", "B. Problems with optimal substructure and overlapping subproblems (Dynamic Programming).", "C. Problems with large inputs but no repetitive calculations.", "D. Simple recursive problems like factorial.", "B"
"Recursion", "What is the Fibonacci sequence defined by `F(n) = F(n-1) + F(n-2)` with base cases `F(0)=0, F(1)=1`? What is `F(4)`?", "A. 2", "B. 3", "C. 4", "D. 5", "B"
"Recursion", "What is the disadvantage of a naive recursive implementation of Fibonacci (without memoization)?", "A. It uses too much memory.", "B. It performs redundant calculations of overlapping subproblems.", "C. It has a high constant factor.", "D. It is not possible to implement.", "B"
"Recursion", "Which of the following sorting algorithms is typically implemented using recursion (divide and conquer)?", "A. Bubble Sort", "B. Insertion Sort", "C. Merge Sort", "D. Selection Sort", "C"
"Recursion", "When performing a Depth-First Search (DFS) on a graph, what data structure can be used to explicitly manage the traversal if not using recursion?", "A. Queue", "B. Stack", "C. Hash Table", "D. Priority Queue", "B"
"Recursion", "What is 'direct recursion'?", "A. A function that calls another function.", "B. A function that calls itself directly.", "C. A function that avoids calling itself.", "D. A function that leads to infinite recursion.", "B"
"Recursion", "What is 'indirect recursion'?", "A. A function that calls itself directly.", "B. A function that calls another function, which in turn calls the first function.", "C. A recursive function with no base case.", "D. A recursive function that uses a global variable.", "B"
"Recursion", "Which of the following problems can be solved using recursion, demonstrating backtracking?", "A. Tower of Hanoi", "B. N-Queens Problem", "C. Sudoku Solver", "D. All of the above", "D"
"Recursion", "What is the typical return value of a recursive function when it hits its base case?", "A. A recursive call.", "B. A value that directly contributes to the final solution without further recursion.", "C. An error message.", "D. Nothing (void).", "B"
"Recursion", "What is 'mutual recursion'?", "A. When two functions call each other.", "B. When a function calls itself twice.", "C. When a function uses multiple base cases.", "D. When recursion is avoided.", "A"
"Recursion", "In the Tower of Hanoi problem with 'n' disks, what is the minimum number of moves required?", "A. n^2", "B. 2n - 1", "C. 2^n - 1", "D. n!", "C"
"Recursion", "When analyzing the time complexity of recursion, what does the 'recurrence relation' describe?", "A. The memory usage of the function.", "B. How the running time of a problem of size 'n' relates to the running time of smaller subproblems.", "C. The number of base cases.", "D. The number of iterations in a loop.", "B"
"Recursion", "What is the time complexity of generating all permutations of a string of length N?", "A. O(N)", "B. O(N log N)", "C. O(N!)", "D. O(2^N)", "C"
"Recursion", "Which of the following is true about recursion?", "A. It always consumes less memory than iteration.", "B. It can lead to more elegant and readable code for certain problems.", "C. It is generally faster than iteration for all problems.", "D. It is only used for mathematical calculations.", "B"
"Recursion", "What is the 'maximum recursion depth'?", "A. The number of times a function calls itself.", "B. The maximum number of frames allowed on the call stack before a stack overflow.", "C. The maximum input size for a recursive function.", "D. The number of base cases in a function.", "B"
"Recursion", "How can you debug a recursive function?", "A. Only by checking the final output.", "B. By setting breakpoints and inspecting the call stack.", "C. Recursion cannot be debugged.", "D. By converting it to an iterative function first.", "B"
"Recursion", "What is the relationship between recursion and mathematical induction?", "A. They are unrelated.", "B. Recursion is similar to the inductive step, and the base case is similar to the base case in induction.", "C. Mathematical induction proves iterative functions.", "D. Recursion is always less efficient than induction.", "B"
"Recursion", "Consider the pseudocode: `function power(base, exp): if exp == 0 then return 1 else return base * power(base, exp-1)`. What is `power(2, 3)`?", "A. 2", "B. 4", "C. 6", "D. 8", "D"
"Recursion", "What is the time complexity of the `power(base, exp)` function (naive recursive) for `exp`?", "A. O(1)", "B. O(log exp)", "C. O(exp)", "D. O(exp^2)", "C"
"Recursion", "Which problem demonstrates the principle of 'divide and conquer' inherently through recursion?", "A. Linear Search", "B. Bubble Sort", "C. QuickSort", "D. All of the above", "C"
"Recursion", "What is the space complexity of a recursive implementation of binary search?", "A. O(1)", "B. O(log n) due to recursion stack.", "C. O(n)", "D. O(n log n)", "B"
